nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
"[6, 21, 39, 41, 43, 47, 50, 55, 70, 71]",65,149240,0.7961419045020873,0.7575276201023045,0.7191763057338048,0.6826612440449985,0.8922678434764346,0.8703606264660094,true
"[11, 16, 51, 54, 55, 61, 63, 68, 76, 89]",101,149204,0.942930533658119,0.7574189382587672,0.7680476075189261,0.6826193514435863,0.9710461027459607,0.8702981892769668,true
"[14, 43, 164, 167, 171, 221, 365, 432, 502, 507]",51,149254,0.8833909597152049,0.7575014291671583,0.744953008043842,0.6826558612682943,0.9398888017820006,0.8703455803111534,true
"[21, 61, 363, 503, 521, 627, 681, 745, 807, 821]",53,149252,1.3320076269937726,0.7573404366013848,0.9364384053647257,0.6825870292234874,1.1541263479332635,0.8702530876712733,true
"[4, 30, 39, 51, 56, 66, 69, 74, 77, 79]",67,149238,0.8542905099482531,0.7575009969558291,0.7587719213936478,0.6826429783460972,0.9242783725416565,0.8703453320124311,true
"[16, 356, 535, 1039, 1316, 1469, 2053, 2217, 2234, 2291]",50,149255,0.9064270581859682,0.7574945555924509,0.7636775882391711,0.6826500059745825,0.9520646292064254,0.8703416315404262,true
"[46, 356, 365, 421, 745, 821, 835, 986, 1226, 1713]",39,149266,1.9973140595464416,0.7572205056713398,1.0720060591486975,0.6825754176091101,1.4132636199755662,0.8701841791663072,true
"[986, 1821, 2204, 2440, 4061, 5146, 4880, 771, 3421, 4548]",53,149252,1.0844488172392812,0.7574283457544747,0.841137405417967,0.682620871001133,1.0413687229983821,0.8703035940144535,true
"[21, 41, 46, 50, 57, 66, 71, 85, 105, 112]",64,149241,1.313543172390046,0.7573059982499954,0.8899530239896649,0.6825882534130226,1.1460991110676448,0.8702333010463318,true
"[104, 172, 200, 218, 304, 315, 318, 459, 473, 511]",49,149256,1.0268078522352981,0.7574560330110752,0.8728485120127841,0.6826147085816292,1.013315277806122,0.8703195005347606,true
"[30, 46, 67, 71, 72, 77, 79, 107, 128, 167]",81,149224,0.929128635005756,0.7574512935481229,0.7394234347925938,0.6826463385442695,0.963913188521537,0.8703167777011557,true
