nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
"[12, 17, 23, 30, 40, 54, 58, 60, 61, 62]",32,236830,0.8780314481860875,0.707992110146234,0.7126565903363498,0.6398420707431,0.9370333228792279,0.841422670330574,true
"[3, 7, 8, 9, 17, 21, 29, 40, 66, 69]",18,236844,0.7864789855735652,0.7080091192115241,0.7523438459894043,0.6398433586485253,0.8868365044209475,0.8414327775951708,true
"[4, 15, 18, 22, 31, 34, 35, 37, 40, 42]",239,236623,0.7998235250955823,0.7079223517146545,0.6736420265775172,0.6398177784096521,0.8943285330881389,0.8413812166400284,true
"[16, 20, 24, 29, 50, 54, 61, 68, 89, 96]",28,236834,0.9163340851271989,0.7079904536421752,0.7052888029625828,0.6398441716075232,0.9572534069551275,0.8414216859828223,true
"[9, 21, 22, 25, 30, 40, 49, 64, 87, 91]",15,236847,1.0879105874387134,0.7079910228690373,0.7503793627626861,0.6398449080399483,1.0430295237617742,0.8414220242357798,true
"[8, 11, 12, 16, 40, 49, 50, 62, 85, 87]",28,236834,1.0269869717289672,0.7079773715643279,0.7321619541188343,0.6398409944951476,1.013403656855928,0.8414139121528286,true
"[4, 6, 15, 18, 19, 22, 26, 27, 28, 32]",235,236627,0.7454552874615512,0.7079778996467905,0.6618158916646527,0.6398300950036889,0.8633975257443997,0.8414142259593609,true
"[9, 12, 22, 29, 40, 61, 82, 87, 92, 98]",23,236839,1.1012802990030703,0.7079768914975889,0.7776613598042491,0.6398385249629647,1.0494190292743268,0.84141362687895,true
"[4, 14, 15, 34, 36, 38, 42, 45, 52, 57]",297,236565,0.7725099680937292,0.7079341110973757,0.6667021987600408,0.6398181982624115,0.8789254621944509,0.8413882047529403,true
"[11, 23, 25, 29, 37, 44, 54, 57, 65, 66]",29,236833,0.8971334901291147,0.7079919250318187,0.71449208681099,0.6398427683408208,0.9471713098110155,0.8414225603297185,true
"[1, 3, 7, 9, 11, 25, 29, 40, 49, 54]",25,236837,0.9046954073570381,0.7079943212719743,0.7176747708770579,0.6398436931548162,0.951154775710577,0.8414239842504933,true
"[1, 13, 22, 40, 49, 66, 69, 74, 87, 96]",17,236845,1.1759712047877144,0.7079814939804226,0.8430557760215474,0.6398373226236007,1.0844220602642287,0.8414163618449683,true
"[2, 3, 9, 13, 20, 41, 44, 77, 94, 104]",11,236851,0.9697030676146348,0.7080029289237989,0.7964972712426882,0.6398446329337661,0.9847350240621254,0.8414290991662927,true
"[29, 32, 34, 46, 50, 52, 57, 62, 63, 65]",44,236818,1.343599429358501,0.7078969929540102,0.9881916803162997,0.6397871875915059,1.1591373643181817,0.8413661467839137,true
"[6, 12, 15, 24, 35, 43, 45, 47, 53, 55]",190,236672,0.747351849317613,0.7079835029107971,0.6659080804215065,0.6398309901031765,0.8644951412920798,0.8414175556231265,true
"[2, 4, 10, 11, 12, 14, 18, 27, 29, 34]",190,236672,0.81327261105069,0.7079305818017126,0.6783712677882644,0.6398209846711875,0.9018162845339898,0.8413861074451566,true
"[5, 6, 10, 31, 37, 38, 45, 47, 52, 55]",157,236705,0.8592146359831584,0.7079147958616216,0.7375761694539786,0.6397870901179732,0.9269383129330443,0.8413767264796559,true
"[25, 29, 49, 54, 63, 78, 85, 87, 92, 93]",20,236842,1.4755596299025338,0.7079502675187529,0.8860651652296105,0.6398311166164554,1.214726154284386,0.8413978057487154,true
"[3, 9, 16, 21, 29, 69, 74, 87, 98, 109]",25,236837,1.090087244736867,0.7079747517117515,0.7575193193997181,0.6398394872507003,1.044072432706116,0.8414123553358077,true
"[3, 9, 20, 69, 77, 91, 104, 109, 123, 129]",13,236849,1.2984827773171435,0.7079826732482274,0.9941263574750457,0.6398324628025955,1.1395098846947944,0.8414170626082094,true
