nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
"[181, 584, 136, 240, 126, 470, 411, 107, 179, 234]",138,14872,0.8345960599242773,0.7608511221649538,0.7220659815309227,0.6708674969687193,0.9135622912118677,0.8722678041547526,true
"[483, 68, 477, 577, 91, 372, 328, 195, 608, 239]",749,14261,0.84684456470004,0.7570482831601159,0.7249307405364716,0.6685234833257305,0.920241579532266,0.8700852160335307,true
"[82, 580, 608, 432, 68, 477, 560, 93, 129, 522]",650,14360,0.8044511592497787,0.7595862737879099,0.6870999125119021,0.6706247616460531,0.8969120131037263,0.8715424681493782,true
"[404, 455, 559, 476, 314, 235, 436, 574, 159, 594]",137,14873,0.9658640662935639,0.7596469285298544,0.7092581194719152,0.6709889166948435,0.9827838349777452,0.8715772648078048,true
"[600, 221, 356, 610, 328, 62, 424, 517, 177, 187]",769,14241,0.8463811896809922,0.7569471954386673,0.7189560674055798,0.6687668916884467,0.9199897769437398,0.8700271233925223,true
"[436, 84, 173, 181, 541, 476, 470, 498, 391, 136]",215,14795,0.7822154368239618,0.7612285114017974,0.6962666943895696,0.6709759500558501,0.8844294414050008,0.8724841038103773,true
"[139, 460, 382, 68, 30, 88, 326, 144, 45, 381]",457,14553,0.8196376371633443,0.7597043733198032,0.7067652790486751,0.6702257120761914,0.9053384102993445,0.8716102186871166,true
