nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
"[97, 146, 149, 151, 152, 194, 204, 238, 244, 259]",93,14787,0.905434773272689,0.7568697949707645,0.7915567445739838,0.6669966655127713,0.951543363842494,0.8699826406146071,true
"[60, 164, 208, 283, 302, 320, 335, 342, 383, 423]",48,14832,1.092075994475934,0.7567165213330777,0.8114595683319187,0.6673101679411272,1.0450243989859442,0.869894546099168,true
"[92, 154, 454, 459, 518, 2, 311, 371, 595, 571]",59,14821,0.9079396161716558,0.757200637932186,0.7178464833259636,0.6675758402042034,0.9528586548757668,0.870172763267264,true
"[2, 5, 55, 79, 88, 149, 151, 183, 208, 214]",73,14807,0.9986067791377042,0.7566111161795098,0.8270239822628047,0.6669900533178594,0.9993031467666377,0.8698339589711992,true
"[253, 311, 333, 392, 485, 568, 345, 46, 554, 535]",64,14816,1.4142965098370595,0.754962480798966,0.9554162633830607,0.6665326558670502,1.189241989603907,0.8688857697067929,true
"[138, 506, 194, 545, 574, 147, 2, 496, 455, 423]",50,14830,1.3202850413113274,0.7559018772812872,0.9011226189497451,0.6669884247629968,1.1490365709198849,0.8694261770163625,true
"[23, 27, 36, 71, 101, 109, 118, 126, 154, 207]",94,14786,1.0254486144618298,0.7560967754894928,0.7131077534040207,0.6674869701990229,1.0126443672197214,0.8695382541840772,true
"[44, 47, 153, 168, 171, 172, 191, 203, 205, 240]",120,14760,1.186506283767027,0.7543128955348923,0.8299251431790985,0.666456873509569,1.0892686921816064,0.8685118856612685,true
"[9, 47, 69, 110, 113, 225, 234, 285, 372, 373]",167,14713,0.9723605400809174,0.755362936311666,0.7684934778725029,0.6666319621680162,0.9860834346448162,0.8691161811355637,true
"[22, 59, 97, 123, 145, 149, 208, 215, 225, 285]",118,14762,0.9887631496932511,0.7559521095029976,0.7859808761826275,0.6668302890389636,0.9943657021907237,0.8694550646830448,true
"[87, 207, 243, 406, 578, 431, 508, 26, 333, 473]",50,14830,1.4057354235502821,0.7556137775434618,0.945837404872319,0.6668376668873306,1.1856371382300244,0.8692604773849216,true
"[48, 65, 78, 100, 172, 193, 195, 209, 218, 308]",107,14773,1.1209044335744058,0.7551683691704186,0.8113575492264248,0.6667352069596902,1.0587277428944637,0.8690042400186656,true
"[106, 151, 342, 463, 529, 531, 589, 568, 146, 272]",63,14817,0.7817931094187798,0.7576963033173834,0.7002313047374173,0.6676371666318601,0.8841906521892096,0.8704575252804604,true
"[23, 70, 101, 102, 115, 116, 136, 185, 205, 259]",94,14786,0.8556699767056201,0.7571761202716574,0.7260392561621062,0.6674047599150205,0.9250243114132839,0.8701586753412606,true
"[22, 65, 113, 149, 172, 224, 244, 256, 259, 272]",142,14738,1.046663500558368,0.7550151224771181,0.7882690258889935,0.6666142128176477,1.0230657361862765,0.8689160618132905,true
"[33, 38, 75, 77, 94, 101, 109, 115, 124, 173]",128,14752,0.8893554399905366,0.7566568326890093,0.7241563231079162,0.6672859585700188,0.943056435209758,0.8698602374456539,true
